Date,Price
2023-02-03,10500.0
2023-02-04,10500.0
2023-02-05,10500.0
2023-02-06,10500.0
2023-02-07,10500.0
2023-02-08,10500.0
2023-02-09,10500.0
2023-02-10,10500.0
2023-02-11,10500.0
2023-02-12,10500.0
2023-02-13,10500.0
2023-02-14,10500.0
2023-02-15,11000.0
2023-02-16,11000.0
2023-02-17,11000.0
2023-02-18,11000.0
2023-02-19,11000.0
2023-02-20,11000.0
2023-02-21,11000.0
2023-02-22,11000.0
2023-02-23,11000.0
2023-02-24,11000.0
2023-02-25,11000.0
2023-02-26,11000.0
2023-02-27,11000.0
2023-02-28,11000.0
2023-03-01,11000.0
2023-03-02,11000.0
2023-03-03,11000.0
2023-03-04,11000.0
2023-03-05,11000.0
2023-03-06,11000.0
2023-03-07,11000.0
2023-03-08,11000.0
2023-03-09,11000.0
2023-03-10,10800.0
2023-03-11,10800.0
2023-03-12,10800.0
2023-03-13,10800.0
2023-03-14,10800.0
2023-03-15,10800.0
2023-03-16,10800.0
2023-03-17,10800.0
2023-03-18,11100.0
2023-03-19,11100.0
2023-03-20,11100.0
2023-03-21,11100.0
2023-03-22,11100.0
2023-03-23,11100.0
2023-03-24,11100.0
2023-03-25,11100.0
2023-03-26,11100.0
2023-03-27,11100.0
2023-03-28,11100.0
2023-03-29,11100.0
2023-03-30,11100.0
2023-03-31,11100.0
2023-04-01,11100.0
2023-04-02,11100.0
2023-04-03,11100.0
2023-04-04,11100.0
2023-04-05,11100.0
2023-04-06,11100.0
2023-04-07,11100.0
2023-04-08,11100.0
2023-04-09,11100.0
2023-04-10,11100.0
2023-04-11,11100.0
2023-04-12,11100.0
2023-04-13,11100.0
2023-04-14,11100.0
2023-04-15,11100.0
2023-04-16,11100.0
2023-04-17,11100.0
2023-04-18,11100.0
2023-04-19,11100.0
2023-04-20,11100.0
2023-04-21,11100.0
2023-04-22,11100.0
2023-04-23,11100.0
2023-04-24,11100.0
2023-04-25,11100.0
2023-04-26,11100.0
2023-04-27,11100.0
2023-04-28,11100.0
2023-04-29,11100.0
2023-04-30,11100.0
2023-05-01,11100.0
2023-05-02,11100.0
2023-05-03,11500.0
2023-05-04,11500.0
2023-05-05,11500.0
2023-05-06,11500.0
2023-05-07,11500.0
2023-05-08,11500.0
2023-05-09,11500.0
2023-05-10,11500.0
2023-05-11,11500.0
2023-05-12,11500.0
2023-05-13,11500.0
2023-05-14,11500.0
2023-05-15,11500.0
2023-05-16,11500.0
2023-05-17,11500.0
2023-05-18,11500.0
2023-05-19,11500.0
2023-05-20,11500.0
2023-05-21,11500.0
2023-05-22,11500.0
2023-05-23,11500.0
2023-05-24,11500.0
2023-05-25,11500.0
2023-05-26,11500.0
2023-05-27,11500.0
2023-05-28,11500.0
2023-05-29,11500.0
2023-05-30,11500.0
2023-05-31,11500.0
2023-06-01,11500.0
